country,country_code,time_zone,admin_1,name_admin_1,city,type_city,longitude,latitude,city_id
Afghanistan,AF,16200,Badakhshan,province,Fayzabad,capital,70.58,37.1166,1142170
Afghanistan,AF,16200,Badghis,province,Qala i Naw,capital,63.1289,34.9874,1129867
Afghanistan,AF,16200,Baghlan,province,Pul-e Khumri,capital,68.7151,35.9446,1130490
Afghanistan,AF,16200,Balkh,province,Mazar-e-Sharif,capital,67.1109,36.709,1133616
Afghanistan,AF,16200,Bamyan,province,Bamyan,capital,67.25,34.75,1147239
Afghanistan,AF,16200,Daykundi,province,Nili,capital,66.1302,33.7218,1131833
Afghanistan,AF,16200,Farah,province,Farah,capital,62.5,32.5,1142263
Afghanistan,AF,16200,Faryab,province,Maymana,capital,64.7836,35.9214,1133453
Afghanistan,AF,16200,Ghazni,province,Ghazni,capital,68.4269,33.5536,1141269
Afghanistan,AF,16200,Helmand,province,Lashkar Gah,capital,64.3716,31.5938,1134720
Afghanistan,AF,16200,Herat,province,Herat,capital,62,34.5,1140025
Afghanistan,AF,16200,Jowzjan,province,Sheberghan,capital,65.7612,36.6621,1125444
Afghanistan,AF,16200,Kabul,province,Kabul,capital,69.4167,34.5,1138957
Afghanistan,AF,16200,Kandahar,province,Kandahar,capital,65.75,31,1138335
Afghanistan,AF,16200,Khost,province,Khost,capital,69.9204,33.3395,1136469
Afghanistan,AF,16200,Kunar,province,Asadabad,capital,71.147,34.8731,1148311
Afghanistan,AF,16200,Kunduz,province,Kunduz,capital,68.75,36.75,1135690
Afghanistan,AF,16200,Laghman,province,Mehtar Lam,capital,70.2094,34.6714,1133574
Afghanistan,AF,16200,Logar,province,Pul-i-Alam,capital,69.0114,34.0058,1147066
Afghanistan,AF,16200,Nangarhar,province,Jalalabad,capital,70.4515,34.4265,1139715
Afghanistan,AF,16200,Nimruz,province,Zaranj,capital,61.8833,30.9667,1120985
Afghanistan,AF,16200,Nuristan,province,Parun,capital,70.9221,35.4207,1130469
Afghanistan,AF,16200,Paktia,province,Gardez,capital,69.2259,33.5974,1141857
Afghanistan,AF,16200,Panjshir,province,Bazarak,capital,69.5152,35.3129,1429434
Afghanistan,AF,16200,Parwan,province,Charikar,capital,69.1714,35.0136,1145352
Afghanistan,AF,16200,Sar-e Pol,province,Sar-e Pol,capital,65.9333,36.215,1127110
Afghanistan,AF,16200,Takhar,province,Taloqan,capital,69.5345,36.7361,1123004
Afghanistan,AF,16200,Urozgan,province,Tarinkot,capital,65.8733,32.6268,1122747
Afghanistan,AF,16200,Wardak,province,Maidan Shar,capital,68.8641,34.3931,1456960
Afghanistan,AF,16200,Zabul,province,Qalat,capital,66.9083,32.1058,1130131
Myanmar,MM,23400,Chin,State,Hakha,capital,93.6167,22.65,1325443
Myanmar,MM,23400,Kachin,State,Myitkyina,capital,97.4,25.3833,1307741
Myanmar,MM,23400,Kayah,State,Loikaw,capital,97.2094,19.6742,1313479
Myanmar,MM,23400,Kayin,State,Hpa-An,capital,97.6333,16.8906,1302849
Myanmar,MM,23400,Mon,State,Mawlamyine,capital,97.6256,16.4914,1308465
Myanmar,MM,23400,Rakhine,State,Sittwe,capital,92.9,20.15,1295765
Myanmar,MM,23400,Shan,State,Taunggyi,capital,97.0333,20.7833,1293960
Myanmar,MM,23400,Ayeyarwady,Region,Pathein,capital,94.7333,16.7833,1328421
Myanmar,MM,23400,Bago,Region,Bago,capital,96.4797,17.3367,1300466
Myanmar,MM,23400,Magway,Region,Magway,capital,94.9167,20.15,1312609
Myanmar,MM,23400,Mandalay,Region,Mandalay,capital,96.0836,21.9747,1311874
Myanmar,MM,23400,Sagaing,Region,Sagaing,capital,95.9797,21.8787,1298482
Myanmar,MM,23400,Tanintharyi,Region,Dawei,capital,98.2,14.0833,1293625
Myanmar,MM,23400,Yangon,Region,Yangon,capital,96.1561,16.8053,1298824
Myanmar,MM,23400,Naypyidaw,UT,Naypyidaw,capital,96.1345,19.754,6611854
